                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
       364         -2095.49659         394.79582       -1700.70077
       365         -2095.52367         394.82289       -1700.70078
       366         -2095.55029         394.84951       -1700.70079
       367         -2095.57631         394.87552       -1700.70079
       368         -2095.60160         394.90080       -1700.70080
       369         -2095.62602         394.92522       -1700.70080
       370         -2095.64945         394.94864       -1700.70081
       371         -2095.67175         394.97094       -1700.70081
       372         -2095.69280         394.99198       -1700.70082
       373         -2095.71249         395.01167       -1700.70082
       374         -2095.73071         395.02988       -1700.70083
       375         -2095.74735         395.04651       -1700.70084
       376         -2095.76232         395.06147       -1700.70085
       377         -2095.77551         395.07465       -1700.70085
       378         -2095.78681         395.08595       -1700.70087
       379         -2095.79614         395.09527       -1700.70087
       380         -2095.80342         395.10254       -1700.70088
       381         -2095.80855         395.10768       -1700.70088
       382         -2095.81147         395.11060       -1700.70088
       383         -2095.81211         395.11123       -1700.70088
       384         -2095.81040         395.10952       -1700.70088
       385         -2095.80627         395.10538       -1700.70089
       386         -2095.79966         395.09876       -1700.70090
       387         -2095.79049         395.08959       -1700.70090
       388         -2095.77874         395.07782       -1700.70092
       389         -2095.76434         395.06342       -1700.70092
       390         -2095.74728         395.04635       -1700.70092
       391         -2095.72752         395.02659       -1700.70093
       392         -2095.70504         395.00410       -1700.70093
       393         -2095.67982         394.97889       -1700.70093
       394         -2095.65186         394.95093       -1700.70093
       395         -2095.62114         394.92021       -1700.70094
       396         -2095.58767         394.88674       -1700.70094
       397         -2095.55145         394.85052       -1700.70093
       398         -2095.51248         394.81155       -1700.70093
       399         -2095.47078         394.76984       -1700.70093
       400         -2095.42635         394.72542       -1700.70093
       401         -2095.37922         394.67829       -1700.70093
       402         -2095.32943         394.62850       -1700.70093
       403         -2095.27698         394.57606       -1700.70092
       404         -2095.22193         394.52101       -1700.70092
       405         -2095.16431         394.46339       -1700.70092
       406         -2095.10415         394.40325       -1700.70091
       407         -2095.04155         394.34065       -1700.70090
       408         -2094.97656         394.27566       -1700.70090
       409         -2094.90922         394.20833       -1700.70090
       410         -2094.83962         394.13873       -1700.70090
       411         -2094.76782         394.06692       -1700.70089
       412         -2094.69388         393.99299       -1700.70089
       413         -2094.61790         393.91701       -1700.70089
       414         -2094.53994         393.83906       -1700.70089
       415         -2094.46010         393.75922       -1700.70088
       416         -2094.37845         393.67758       -1700.70087
       417         -2094.29506         393.59419       -1700.70086
       418         -2094.21001         393.50915       -1700.70086
       419         -2094.12343         393.42257       -1700.70085
       420         -2094.03540         393.33455       -1700.70085
       421         -2093.94601         393.24517       -1700.70084
       422         -2093.85534         393.15451       -1700.70084
       423         -2093.76350         393.06266       -1700.70084
       424         -2093.67056         392.96974       -1700.70083
       425         -2093.57663         392.87581       -1700.70082
       426         -2093.48180         392.78098       -1700.70082
       427         -2093.38615         392.68534       -1700.70081
       428         -2093.28979         392.58899       -1700.70080
       429         -2093.19280         392.49200       -1700.70080
       430         -2093.09527         392.39448       -1700.70079
       431         -2092.99730         392.29651       -1700.70079
       432         -2092.89896         392.19818       -1700.70078
       433         -2092.80033         392.09956       -1700.70077
       434         -2092.70152         392.00075       -1700.70077
       435         -2092.60261         391.90184       -1700.70077
