                               No. of Molecules =    12800
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         84.6420
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en      -16846.98347
        Step              PE              KE                TE 
       456        -16761.88184        3157.78384      -13604.09800
       457        -16761.97859        3157.88057      -13604.09802
       458        -16762.07710        3157.97907      -13604.09803
       459        -16762.17738        3158.07934      -13604.09803
       460        -16762.27943        3158.18138      -13604.09805
       461        -16762.38324        3158.28519      -13604.09805
       462        -16762.48877        3158.39073      -13604.09805
       463        -16762.59597        3158.49793      -13604.09804
       464        -16762.70485        3158.60682      -13604.09803
       465        -16762.81540        3158.71736      -13604.09805
       466        -16762.92753        3158.82950      -13604.09803
       467        -16763.04125        3158.94321      -13604.09804
       468        -16763.15655        3159.05850      -13604.09805
       469        -16763.27341        3159.17535      -13604.09806
       470        -16763.39181        3159.29373      -13604.09807
       471        -16763.51179        3159.41368      -13604.09810
       472        -16763.63332        3159.53522      -13604.09810
       473        -16763.75642        3159.65834      -13604.09808
       474        -16763.88109        3159.78302      -13604.09807
       475        -16764.00730        3159.90922      -13604.09808
       476        -16764.13497        3160.03690      -13604.09807
       477        -16764.26412        3160.16606      -13604.09806
       478        -16764.39474        3160.29668      -13604.09806
       479        -16764.52683        3160.42877      -13604.09806
       480        -16764.66038        3160.56232      -13604.09806
       481        -16764.79538        3160.69733      -13604.09806
       482        -16764.93183        3160.83378      -13604.09805
       483        -16765.06972        3160.97168      -13604.09805
       484        -16765.20905        3161.11100      -13604.09805
       485        -16765.34976        3161.25171      -13604.09804
       486        -16765.49187        3161.39382      -13604.09806
       487        -16765.63537        3161.53732      -13604.09805
       488        -16765.78028        3161.68224      -13604.09804
       489        -16765.92657        3161.82853      -13604.09804
       490        -16766.07423        3161.97618      -13604.09805
       491        -16766.22329        3162.12522      -13604.09806
       492        -16766.37373        3162.27567      -13604.09806
       493        -16766.52554        3162.42750      -13604.09804
       494        -16766.67876        3162.58070      -13604.09806
       495        -16766.83329        3162.73524      -13604.09805
       496        -16766.98913        3162.89109      -13604.09804
       497        -16767.14625        3163.04822      -13604.09803
       498        -16767.30465        3163.20663      -13604.09803
       499        -16767.46429        3163.36627      -13604.09802
       500        -16767.62524        3163.52719      -13604.09805
       501        -16767.78744        3163.68938      -13604.09805
       502        -16767.95080        3163.85275      -13604.09805
       503        -16768.11532        3164.01728      -13604.09804
       504        -16768.28098        3164.18294      -13604.09805
       505        -16768.44774        3164.34969      -13604.09804
       506        -16768.61559        3164.51752      -13604.09806
       507        -16768.78445        3164.68640      -13604.09805
       508        -16768.95432        3164.85627      -13604.09805
       509        -16769.12510        3165.02705      -13604.09805
       510        -16769.29675        3165.19869      -13604.09806
       511        -16769.46916        3165.37109      -13604.09806
       512        -16769.64228        3165.54422      -13604.09805
       513        -16769.81604        3165.71798      -13604.09805
       514        -16769.99033        3165.89227      -13604.09806
       515        -16770.16513        3166.06705      -13604.09808
       516        -16770.34036        3166.24228      -13604.09808
       517        -16770.51595        3166.41786      -13604.09808
       518        -16770.69185        3166.59374      -13604.09810
       519        -16770.86791        3166.76980      -13604.09811
       520        -16771.04400        3166.94588      -13604.09811
       521        -16771.21997        3167.12185      -13604.09811
       522        -16771.39580        3167.29766      -13604.09815
       523        -16771.57136        3167.47320      -13604.09816
       524        -16771.74658        3167.64841      -13604.09817
       525        -16771.92131        3167.82312      -13604.09819
       526        -16772.09542        3167.99723      -13604.09818
       527        -16772.26886        3168.17067      -13604.09819
       528        -16772.44152        3168.34332      -13604.09820
       529        -16772.61325        3168.51503      -13604.09822
       530        -16772.78388        3168.68566      -13604.09822
       531        -16772.95331        3168.85508      -13604.09823
       532        -16773.12141        3169.02317      -13604.09824
       533        -16773.28803        3169.18980      -13604.09823
       534        -16773.45305        3169.35483      -13604.09823
       535        -16773.61633        3169.51811      -13604.09823
       536        -16773.77776        3169.67951      -13604.09825
       537        -16773.93718        3169.83891      -13604.09827
       538        -16774.09445        3169.99617      -13604.09828
       539        -16774.24939        3170.15112      -13604.09827
       540        -16774.40188        3170.30363      -13604.09825
       541        -16774.55187        3170.45361      -13604.09826
       542        -16774.69923        3170.60096      -13604.09827
       543        -16774.84385        3170.74557      -13604.09828
       544        -16774.98563        3170.88734      -13604.09828
       545        -16775.12442        3171.02615      -13604.09827
       546        -16775.26016        3171.16188      -13604.09828
       547        -16775.39276        3171.29449      -13604.09827
       548        -16775.52219        3171.42393      -13604.09826
       549        -16775.64839        3171.55013      -13604.09826
       550        -16775.77127        3171.67301      -13604.09825
       551        -16775.89070        3171.79245      -13604.09825
       552        -16776.00660        3171.90835      -13604.09825
       553        -16776.11896        3172.02073      -13604.09824
