                               No. of Molecules =     5400
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         63.4818
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -7107.20830
        Step              PE              KE                TE 
       348         -7076.25208        1336.98937       -5739.26271
       349         -7076.25575        1336.99304       -5739.26271
       350         -7076.26332        1337.00061       -5739.26271
       351         -7076.27467        1337.01195       -5739.26271
       352         -7076.28963        1337.02691       -5739.26272
       353         -7076.30808        1337.04534       -5739.26273
       354         -7076.32983        1337.06709       -5739.26274
       355         -7076.35471        1337.09195       -5739.26276
       356         -7076.38255        1337.11978       -5739.26276
       357         -7076.41317        1337.15040       -5739.26278
       358         -7076.44636        1337.18356       -5739.26280
       359         -7076.48187        1337.21907       -5739.26280
       360         -7076.51959        1337.25677       -5739.26282
       361         -7076.55926        1337.29643       -5739.26283
       362         -7076.60067        1337.33782       -5739.26284
       363         -7076.64362        1337.38076       -5739.26286
       364         -7076.68789        1337.42502       -5739.26287
       365         -7076.73324        1337.47037       -5739.26287
       366         -7076.77945        1337.51656       -5739.26288
       367         -7076.82629        1337.56339       -5739.26290
       368         -7076.87353        1337.61062       -5739.26291
       369         -7076.92095        1337.65802       -5739.26293
       370         -7076.96836        1337.70543       -5739.26294
       371         -7077.01555        1337.75261       -5739.26295
       372         -7077.06232        1337.79936       -5739.26296
       373         -7077.10845        1337.84548       -5739.26297
       374         -7077.15373        1337.89075       -5739.26298
       375         -7077.19799        1337.93499       -5739.26300
       376         -7077.24102        1337.97800       -5739.26302
       377         -7077.28258        1338.01954       -5739.26304
       378         -7077.32247        1338.05943       -5739.26304
       379         -7077.36058        1338.09753       -5739.26305
       380         -7077.39674        1338.13368       -5739.26306
       381         -7077.43077        1338.16770       -5739.26307
       382         -7077.46248        1338.19940       -5739.26308
       383         -7077.49172        1338.22864       -5739.26308
       384         -7077.51836        1338.25526       -5739.26310
       385         -7077.54229        1338.27918       -5739.26311
       386         -7077.56340        1338.30027       -5739.26312
       387         -7077.58155        1338.31843       -5739.26312
       388         -7077.59667        1338.33352       -5739.26314
       389         -7077.60861        1338.34546       -5739.26315
       390         -7077.61732        1338.35416       -5739.26316
       391         -7077.62273        1338.35957       -5739.26316
       392         -7077.62477        1338.36161       -5739.26316
       393         -7077.62342        1338.36024       -5739.26318
       394         -7077.61860        1338.35543       -5739.26318
       395         -7077.61032        1338.34714       -5739.26318
       396         -7077.59855        1338.33538       -5739.26317
       397         -7077.58327        1338.32010       -5739.26317
       398         -7077.56445        1338.30129       -5739.26317
       399         -7077.54212        1338.27896       -5739.26316
       400         -7077.51630        1338.25315       -5739.26315
       401         -7077.48703        1338.22387       -5739.26316
       402         -7077.45428        1338.19113       -5739.26315
       403         -7077.41815        1338.15499       -5739.26316
       404         -7077.37868        1338.11551       -5739.26316
       405         -7077.33594        1338.07279       -5739.26315
       406         -7077.29005        1338.02691       -5739.26315
       407         -7077.24107        1337.97792       -5739.26314
       408         -7077.18907        1337.92594       -5739.26313
       409         -7077.13414        1337.87103       -5739.26311
       410         -7077.07641        1337.81330       -5739.26311
       411         -7077.01599        1337.75287       -5739.26312
       412         -7076.95296        1337.68985       -5739.26311
       413         -7076.88745        1337.62433       -5739.26311
       414         -7076.81957        1337.55646       -5739.26311
       415         -7076.74947        1337.48637       -5739.26310
       416         -7076.67725        1337.41417       -5739.26308
       417         -7076.60306        1337.33999       -5739.26306
       418         -7076.52708        1337.26401       -5739.26306
       419         -7076.44940        1337.18635       -5739.26305
       420         -7076.37016        1337.10712       -5739.26303
       421         -7076.28954        1337.02650       -5739.26304
       422         -7076.20767        1336.94465       -5739.26302
       423         -7076.12468        1336.86167       -5739.26301
       424         -7076.04072        1336.77773       -5739.26299
       425         -7075.95596        1336.69298       -5739.26298
       426         -7075.87052        1336.60755       -5739.26297
       427         -7075.78451        1336.52154       -5739.26297
       428         -7075.69807        1336.43511       -5739.26296
       429         -7075.61133        1336.34838       -5739.26295
       430         -7075.52447        1336.26151       -5739.26296
       431         -7075.43759        1336.17463       -5739.26296
       432         -7075.35079        1336.08786       -5739.26293
       433         -7075.26423        1336.00130       -5739.26293
       434         -7075.17800        1335.91507       -5739.26293
       435         -7075.09221        1335.82929       -5739.26292
       436         -7075.00700        1335.74409       -5739.26291
       437         -7074.92247        1335.65957       -5739.26289
       438         -7074.83871        1335.57582       -5739.26289
       439         -7074.75579        1335.49290       -5739.26288
       440         -7074.67383        1335.41094       -5739.26289
       441         -7074.59291        1335.33003       -5739.26288
       442         -7074.51311        1335.25024       -5739.26287
       443         -7074.43452        1335.17166       -5739.26287
       444         -7074.35721        1335.09435       -5739.26286
       445         -7074.28124        1335.01838       -5739.26286
       446         -7074.20670        1334.94385       -5739.26285
       447         -7074.13366        1334.87081       -5739.26284
       448         -7074.06219        1334.79936       -5739.26283
       449         -7073.99241        1334.72958       -5739.26283
       450         -7073.92438        1334.66155       -5739.26283
       451         -7073.85812        1334.59530       -5739.26281
       452         -7073.79374        1334.53093       -5739.26281
       453         -7073.73130        1334.46850       -5739.26280
       454         -7073.67090        1334.40809       -5739.26281
       455         -7073.61255        1334.34974       -5739.26280
       456         -7073.55635        1334.29353       -5739.26282
       457         -7073.50234        1334.23953       -5739.26280
       458         -7073.45060        1334.18781       -5739.26279
       459         -7073.40127        1334.13846       -5739.26280
       460         -7073.35435        1334.09156       -5739.26280
       461         -7073.30995        1334.04716       -5739.26278
       462         -7073.26815        1334.00537       -5739.26278
       463         -7073.22905        1333.96626       -5739.26279
       464         -7073.19269        1333.92989       -5739.26279
       465         -7073.15913        1333.89634       -5739.26279
